date,region,state,cases,deaths
2020-02-06,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-06,Nordeste,Alagoas,0,0
2020-02-06,Nordeste,Bahia,0,0
2020-02-06,Nordeste,Ceará,0,0
2020-02-06,Nordeste,Maranhão,0,0
2020-02-06,Nordeste,Paraíba,0,0
2020-02-06,Nordeste,Pernambuco,0,0
2020-02-06,Nordeste,Piauí,0,0
2020-02-06,Nordeste,Rio Grande do Norte,0,0
2020-02-06,Nordeste,Sergipe,0,0
2020-02-06,Norte,Acre,0,0
2020-02-06,Norte,Amapá,0,0
2020-02-06,Norte,Amazonas,0,0
2020-02-06,Norte,Pará,0,0
2020-02-06,Norte,Rondônia,0,0
2020-02-06,Norte,Roraima,0,0
2020-02-06,Norte,Tocantins,0,0
2020-02-06,Sudeste,Espírito Santo,0,0
2020-02-06,Sudeste,Minas Gerais,0,0
2020-02-06,Sudeste,Rio de Janeiro,0,0
2020-02-06,Sudeste,São Paulo,0,0
2020-02-06,Sul,Paraná,0,0
2020-02-06,Sul,Rio Grande do Sul,0,0
2020-02-06,Sul,Santa Catarina,0,0
2020-02-07,Centro-Oeste,Distrito Federal,0,0
2020-02-07,Centro-Oeste,Goiás,0,0
2020-02-07,Centro-Oeste,Mato Grosso,0,0
2020-02-07,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-07,Nordeste,Alagoas,0,0
2020-02-07,Nordeste,Bahia,0,0
2020-02-07,Nordeste,Ceará,0,0
2020-02-07,Nordeste,Maranhão,0,0
2020-02-07,Nordeste,Paraíba,0,0
2020-02-07,Nordeste,Pernambuco,0,0
2020-02-07,Nordeste,Piauí,0,0
2020-02-07,Nordeste,Rio Grande do Norte,0,0
2020-02-07,Nordeste,Sergipe,0,0
2020-02-07,Norte,Acre,0,0
2020-02-07,Norte,Amapá,0,0
2020-02-07,Norte,Amazonas,0,0
2020-02-07,Norte,Pará,0,0
2020-02-07,Norte,Rondônia,0,0
2020-02-07,Norte,Roraima,0,0
2020-02-07,Norte,Tocantins,0,0
2020-02-07,Sudeste,Espírito Santo,0,0
2020-02-07,Sudeste,Minas Gerais,0,0
2020-02-07,Sudeste,Rio de Janeiro,0,0
